Vendor|VendorAbbr|CountryCode|ProductID|ProductDescription|ProductType|ProductLine|Finish|UOM|Zero81|PkQtyForPricing|Keynote
ASSA|AS|UK|36244551220|6655 HANDLE SET (SPRUNG HOLLOW HANDLE)|FN|6655|PB|PAIR|66.69|1|9.1
ASSA|AS|UK|36346000020|6655 COVER CAP & GOLD RING/WASHER|FN|6655|PB|EA|4.93|1|9.9
ASSA|AS|UK|40806610820|STRIKING PLATE ASA (MORTICE LOCK)|LO|STRIKE|PB|EA|13.87|1|2.1
ASSA|AS|UK|45020217220|256 ACCS 11MM (11-43-65M)|FN|256|PB|EA|33.99|1|9.9
ASSA|AS|UK|46266417220|256 ACCS 13MM (13-43-65M)|FN|256|PB|EA|33.99|1|9.9
ASSA|AS|UK|46883210020|265 50mm Toilet Escutcheon|FN|265|PB|EA|37.22|1|9.9
ASSA|AS|UK|46902010820|765 FACEPLATE ASA|LO|MODULAR|PB|EA|24.5|1|2.1
ASSA|AS|UK|46907910720|765 FACEPLATE|LO|MODULAR|PB|EA|24.5|1|2.1
ASSA|AS|UK|46910662320|765 50mm Lockset|LO|MODULAR|PB|EA|50.8|1|2.1
ASSA|AS|UK|46910912720|9788 50mm Lockset|LO|MODULAR|PB|EA|50.58|1|2.1
ASSA|AS|UK|46911462720|2788 50mm Lockset|LO|MODULAR|PB|EA|46.64|1|2.1
ASSA|AS|UK|46911962320|1498 50MM Latchset|LO|MODULAR|PB|EA|40.83|1|2.1
ASSA|AS|UK|46914410720|8761 FACEPLATE|LO|MODULAR|PB|EA|27.18|1|2.1
ASSA|AS|UK|46917762320|8761 50MM Lockset|LO|MODULAR|PB|EA|76.22|1|2.1
ASSA|AS|UK|46917764320|8761 50MM LOCKSET ME MICRO(AKA M7 MICRO)|LO|MODULAR|PB|EA|145.93|1|2.1
ASSA|AS|UK|46946010820|8761 FACEPLATE ASA|LO|MODULAR|PB|EA|24.5|1|2.1
ASSA|AS|UK|47002251220|640 Handle|FN|640|PB|PAIR|37.64|1|9.1
ASSA|AS|UK|47003151220|696 Handle|FN|696|PB|PAIR|40.56|1|9.1
ASSA|AS|UK|47004151220|6640 Handle|FN|6640|PB|PAIR|55.7|1|9.1
ASSA|AS|UK|80301410020|9265 DISABLED TOILET ACCS SET|FN|9265|PB|EA|48.23|1|9.9
